Definição_da_Doença,Indices_ep,Prevenção,teste_rapido_diag,Consequências,Tratamento
"A sífilis é uma Infecção Sexualmente Transmissível (IST) curável e exclusiva do ser humano. Pode ser transmitida por relação sexual sem camisinha com uma pessoa infectada ou para a criança durante a gestação ou parto (sífilis congênita) e pode pôr em risco não apenas sua saúde, como a do bebê.",,"O uso correto e regular da camisinha feminina e/ou masculina é a medida mais importante de prevenção da sífilis, por se tratar de uma Infecção Sexualmente Transmissível.","O teste rápido (TR) de sífilis está disponível nos serviços de saúde do SUS, sendo prático e de fácil execução, com leitura do resultado em, no máximo, 30 minutos, sem a necessidade de estrutura laboratorial. Esta é a principal forma de diagnóstico da sífilis.

O acompanhamento das gestantes e parcerias sexuais durante o pré-natal previne a sífilis congênita","Em casos mais graves podem causar sequelas permanentes ou abortamento e óbito fetal, com mortalidade em torno de 40% nas crianças infectadas.",O tratamento de escolha é a penicilina benzatina (benzetacil)
"uma infecção causada por bactéria (treponema pallidum), transmitida por relação sexual com pessoa infectada, que é chamada de sífilis adquirida, ou ainda transmitida para crianças durante a gestação ou parto, chamada de sífilis congênita","Em 2019 já foram notificados no município de Dourados 367 novos casos de sífilis, sendo que destes","O uso do preservativo ainda é a alternativa mais eficaz e segura da prevenção das IST. Por isso, a estratégia de distribuição de camisinha em pontos de grande concentração de pessoas nesta época do ano é fundamental para sensibilizar a população sexualmente ativa para a prática de sexo seguro"", observa a coordenadora.

O diagnóstico precoce também é considerado uma forma eficaz de controle, pois através dele é possível realizar o tratamento correto completo, que interrompe a cadeia de transmissão.",,"Quanto às manifestações clínicas, ela pode ser classificada como primária, secundária e terciária. Na sífilis primária, seu sinal é uma lesão indolor, geralmente localizada nos órgãos genitais, sem prurido e indolor, por isso pode passar sem ser percebida. Sem tratamento pode haver uma evolução para sífilis secundária, apresentando sintomas como erupções na pele. E, ainda, entre 15 a 25% dos casos, podem evoluir para sífilis terciária, com comprometimento neurológico e cardiológico",
,"Boletim divulgado pelo Ministério da Saúde em outubro mostra que casos de sífilis aumentaram 32% no período 2017-2018. Ano passado, foram 158 mil casos. No mesmo período, a sífilis congênita aumentou 5%.","Nessa estratégia, além do sexo protegido, é preciso enfatizar a testagem e o tratamento. Com menos pessoas infectadas, o risco de contaminação se reduz. ",,,"A sífilis é tratada por meio de antibióticos. A infecção pode ser transmitida pela gestação para o feto, a exemplo do que ocorre com o HIV. "
 sífilis é uma Infecção Sexualmente Transmissível e uma questão preocupante para a saúde pública.,"Em 2018, o Paraná registrou 88,8 casos de sífilis adquirida para cada 100 mil habitantes. No Brasil, foram 75,8/100 mil habitantes e, na região Sul, 123,7/100 mil pessoas.

Ainda no ano passado, a sífilis congênita no Estado apresentou uma taxa de 5,6 para cada 1.000 nascidos vivos. No Brasil a taxa foi de 9,0 por 1.000 nascidos vivos e, na região Sul, 8,9/1.000 nascidos vivos.

A taxa de sífilis na gestação foi de 15,5 para cada 1.000 nascidos no Paraná, enquanto que no Brasil e na região Sul as taxas foram de 21,4 e 23, respectivamente.","Tanto a sífilis adquirida, cuja transmissão é predominantemente sexual, como a sífilis na gestação, com a transmissão da mãe para filho, podem ser evitadas com uso de preservativos. ","A detecção por meio de testes rápidos permite o diagnóstico, que o paciente tome os cuidados para evitar a transmissão e, ainda, o tratamento precoce.",,
"As doenças transmitidas por relação sexual são causadas por mais de 30 vírus e bactérias através do contato, sem o uso de preservativo, com uma pessoa que esteja infectada.","De 2018 para 2019, o Paraná aponta 19% de redução dos casos de Aids; 22% na mortalidade por Aids, e 75% na mortalidade por Aids em menores de 5 anos.

No mesmo período o Estado conseguiu redução de 12% nos casos do HIV.",,"a realização de testes rápidos para detecção de presença do vírus do HIV/AIDS, sífilis e hepatite viral. Estes exames ficam prontos em cerca de 30 minutos.

Pessoas diagnosticadas com as doenças são encaminhadas para tratamento, com distribuição de medicamentos como antivirais, antirretrovirais, antimicrobianos e penicilina, entre outros.","Segundo ela, as ISTs podem ainda provocar consequências graves para o organismo, com sequelas para o resto da vida e levar até à morte. “As ISTs aumentam em até 18 vezes a chance de infecção pelo HIV/AIDS, por exemplo”, destaca.",
"As infecções transmitidas por uma relação sexual são causadas por mais de 30 vírus e bactérias através do contato, sem o uso do preservativo, com o indivíduo que esteja infectado.","Os números do Ministério da Saúde mostram há 900 mil portadores de AIDS/HIV no país. O mais recente boletim epidemiológico do órgão aponta que os jovens são os principais atingidos pelo vírus, com 52,7% do total de casos localizados na faixa etária entre 20 e 34 anos.

Já o Boletim Epidemiológico, entre 2010 e 2018, indicou que houve um impressionante aumento de 4.157% nos casos de sífilis no país durante esse período.","Para os especialistas, a queda no uso dos preservativos vem da escassez de campanhas de prevenção aliada a uma geração que não conviveu com o retrato da AIDS da década de 1980, subestimando a importância da prevenção.",,,
" vilã da sífilis é a bactéria Treponema pallidum, que, sorrateira, ataca o organismo em fases e pode enganar a vítima, dando a falsa impressão de ter ido embora do pedaço.

","Entre 2010 e 2018, os casos registrados de sífilis adquirida sexualmente saltaram de 2,1 para 75,8 a cada 100 mil brasileiros — um aumento de incríveis 3 600%. “",,"O teste rápido é oferecido de graça pelo SUS e não exige sequer laboratório: basta coletar o sangue perfurando um dedo e colocá-lo em um kit distribuído aos serviços de saúde. Em meia hora, sai o resultado. ","Os primeiros sintomas também confundem: feridas nos genitais, erupções cutâneas e ínguas, às vezes confundidas com alergias ou outras infecções. Como costumam desaparecer sozinhos, é comum que as pessoas não deem bola nem procurem o médico. Só que a bactéria continua ali, na miúda.

Esse período de latência pode inclusive durar décadas: a doença fica assintomática, mas ainda se espalha pelo corpo e é transmitida para outras pessoas. Após anos na surdina, porém, ela volta ao ataque, chegando a causar lesões no cérebro, no coração, nos olhos e até levar à morte.",
"A sífilis é uma infecção transmitida por meio de relação sexual, causada por uma bactéria. ",Secretaria de Estado de Saúde (SES-MT) registrou 8.561 casos de sífilis em Mato Grosso entre os anos de 2015 e 2019. ,," O Sistema Único de Saúde disponibiliza um teste rápido para diagnosticar a doença e também o tratamento da doença.                                                                                                                              O teste rápido de sífilis  disponibilizado pelas unidades públicas de saúde e custeado pelo SUS é um método prático e de fácil execução, com leitura do resultado em, no máximo, 30 minutos, sem a necessidade de estrutura laboratorial. Esse teste é a principal forma de diagnóstico da sífilis.","A doença apresenta várias manifestações clínicas e diferentes estágios: sífilis primária, secundária, latente e terciária. Os sintomas das sífilis variam de acordo com cada estágio da infecção; geralmente apresentam ferida no local de entrada da bactéria (pênis, vulva, vagina, colo uterino, ânus, boca, ou outros locais da pele), que aparece entre 10 a 90 dias após o contágio. Essa lesão é rica em bactérias e, se não for tratada, pode causar a transmissão.",
,"De acordo com a Vigilância Epidemiológica de Barbacena, em 2019, a cidade registrou 27 novos casos de contaminação pelo vírus HIV, além de 196 novos casos de Sífilis, sendo 163 Adquirida, 16 Congênita e 17 em gestantes.","Ainda, segundo a coordenadora, além do uso do preservativo, que é o método mais efetivo na prevenção às ISTs, existem outros cuidados disponíveis à população. Como a Profilaxia Pós-Exposição (PEP), que consiste no uso de medicação após uma exposição ao vírus e a Profilaxia Pré-Exposição (PrEP), que consiste no uso de medicamentos como forma de prevenção ao HIV. "," A importância da realização do teste rápido como forma de conhecimento do estado sorológico, que proporciona o diagnóstico e o tratamento precoce",,
 É uma infecção bacteriana que pode ser transmitida por relação sexual sem camisinha com uma pessoa infectada ou para a criança durante a gestação ou parto.,,,"“O teste é fácil de ser feito, está disponível na rede pública, é gratuito. A pessoa chega, se apresenta para a equipe de saúde e pede para fazer o teste”, explica o infectologista Paulo Abrão.","A sífilis congênita pode trazer vários problemas para o bebê: neurológico, visual, anomalia na arcada dentária, anomalias nas articulações, na pele do bebê. São malformações que podem ser limitantes no ponto de vista de qualidade de vida e de desenvolvimento da criança. Além disso, são muitas vezes irreversíveis","Quando a sífilis é diagnosticada na mulher grávida, o tratamento deve ser iniciado imediatamente, com a penicilina benzatina. Esse é o único medicamento capaz de prevenir a transmissão."
,"O aumento aconteceu nas três formas da doença. Em relação a sífilis adquirida foram 526 casos registrados em 2019. Um aumento de 21%, em comparação com os 433 registrados em 2018. Entre as gestantes esse número chegou a 366: 23% maior do que os 296 registrados no ano anterior. Na sífilis congênita esse número chega a 120 casos, o que representa um aumento de 30%.",,"O diagnostico é feito por meio de teste rápido, disponível em qualquer Unidade Básica de Saúde (UBS).","Entre os sintomas, estão feridas na genitália, manchas e lesões na pele.","É feito com penicilina benzatina, entre uma a três semanas. Só precisa tratar ela e o parceiro dela. Porque se não o parceiro volta a contaminar a parceira"
,"Os casos de sífilis aumentaram 25% em Leme (SP) em relação a 2018, segundo a Secretaria de Saúde do município. Foram registrados 49 casos da infecção sexualmente transmissível (IST) entre janeiro e outubro deste ano. No mesmo período de 2018 foram 39.","A maneira mais eficaz de prevenir é usar camisinha, oferecida gratuitamente nas unidades de saúde.",,"se a doença não for tratada, pode afetar alguns órgãos, como coração e fígado. No caso das mulheres grávidas, a doença pode ser transmitida para o bebê, causando má formação.",O tratamento é à base de antibióticos.
"uma infecção sexualmente transmissível que, quando não tratada, é capaz de afetar o sistema nervoso e cardiovascular do paciente",,,"A Unidade Móvel de Testagem Rápida oferece o exame para a detecção de sífilis, utilizando uma amostra de sangue retirada da ponta do dedo da pessoa e o resultado é liberado em no máximo 30 minutos.","é uma doença que traz graves prejuízos para a saúde da criança, como cegueira, má formação óssea e dentária, surdez e problemas neurológicos",
"Causada pela bactéria Treponema pallidum, a sífilis é uma infecção sexualmente transmissível e também pode ser passada de mãe para filho, durante a gestação.","De acordo com a OMS, a sífilis atinge mais de 12 milhões de pessoas em todo o mundo e a eliminação da doença é um desafio para os sistemas de saúde.",,,"Ela provoca feridas na região contaminada, febre, mal-estar e manchas no corpo. A longo prazo, a doença pode causar problemas cardiovasculares e neurológicos. Se transmitida da mãe para o bebê, a criança pode nascer com problemas ósseos, deficiência mental ou cegueira, em decorrência da sífilis congênita.","Atualmente, apenas um medicamento - a penicilina - é considerado seguro e eficaz para as grávidas com sífilis. "
"É uma infecção sexualmente transmissível (IST) causada pela bactéria treponema pallidum, transmitida por meio de relação sexual. A doença ainda pode ser transmitida para a criança durante a gestação ou o parto. Pode se apresentar das mais variadas formas clínicas e é classificada em diferentes estágios: sífilis primária, secundária, latente e terciária.","Nós realizamos um levantamento de 2015 a 2019 em relação a sífilis adquirida, e foram cerca de 1.190 novos casos registrados em todo Acre nesse período","A prevenção é feita com o uso de preservativos, que  podem ser adquiridos de forma gratuita em todas as unidades de saúde do Acre.",,,"Hoje o Ministério da Saúde disponibiliza a benzetacil para o tratamento. O Estado recebe e realiza a distribuição para os 22 municípios acreanos, com isso garantimos todo o tratamento"
"A sífilis é uma infecção causada por uma bactéria (treponema pallidum) transmitida por relação sexual com pessoa infectada (sífilis adquirida), por relações sexuais desprotegidas, inclusive pelo sexo oral, ou transmitida para crianças durante a gestação ou parto (sífilis congênita).",,A melhor forma de prevenção é usar o preservativo.,"O teste laboratorial de detecção da sífilis, para o HIV e hepatites virais está disponível em todas as 111 unidades de saúde da cidade.",,
"infecção sexualmente transmitida, que é causada pela bactéria Treponema Pallidum",,A prevenção da sífilis acontece por meio de preservativo e quando tratada corretamente tem cura.,,"A doença pode causar aborto, parto prematuro, morte após o nascimento, malformação do feto, dificuldade respiratória, alterações  neurológicas  importantes, etc.",
,"De 2010 a 2011, o número de crianças de até 1 ano de idade diagnosticadas com sífilis subiu 34% no Brasil. No ano passado, foram diagnosticados 9.374 casos de sífilis congênita em menores de um ano de idade. ",,"Com o objetivo de reduzir os casos de sífilis até 2015, o governo federal ampliou a distribuição de testes rápidos de sífilis no Programa Rede Cegonha, que atende gestantes. O resultado do exame sai em apenas 30 minutos, durante a consulta de pré-natal.",,"o tratamento da sífilis congênita é fácil, desde que a mãe receba o diagnóstico precoce. ''O acesso precoce à testagem é essencial ao tratamento, não só para o recém-nascido, mas também para a gestante durante o pré-natal"". "
,"Os casos de sífilis adquirida (em adultos) tiveram aumento de 27,9% de 2015 para 2016 no Brasil. Os dados são do boletim epidemiológico de 2017, divulgado ontem (31) pelo Ministério da Saúde.",,"com a distribuição de testes rápidos na rede de saúde. “A tendência é de, com o aumento da testagem, aumentar os casos identificados e permitir ao sistema de saúde tratar essas pessoas e diminuir a transmissão de mãe para filho""",, penicilina (medicamento mais eficaz contra a doença) 
"É uma doença infecciosa causada pela bactéria Treponema pallidum. Manifesta-se em três estágios: primária, secundária e terciária.",,"Como não há perspectiva de desenvolvimento de vacina, em curto prazo, a prevenção recai sobre a educação em saúde: uso regular de preservativos, diagnóstico precoce em mulheres em idade reprodutiva e parceiros, e realização do teste diagnóstico por mulheres com intenção de engravidar.",,"Se a doença não for tratada, continua a avançar no organismo, surgindo manchas em várias partes do corpo (inclusive nas palmas das mãos e solas dos pés), queda de cabelos, cegueira, doença do coração, paralisias. Caso ocorra em grávidas, poderá causar aborto/natimorto ou má formação do feto.","O tratamento mais indicado para a sífilis é a utilização do mais antigo dos antibióticos: a penicilina. O maior problema do tratamento é o seu diagnóstico, visto que a sífilis pode ser confundida com muitas outras doenças. "
A Sífilis é uma infecção sexualmente transmissível (IST) causada pela bactéria Treponema pallidum.,,"É sabido ainda que muitas pessoas têm esquecido o uso de preservativos como o único modo capaz de evitar a contaminação com bactérias e vírus que podem causar doenças graves como a sífilis, mas também a Aids, hepatites B e C, além de Herpes, HPV, Gonorreia e infecção por Clamídia.",," gestantes com sífilis não tratadas podem transmitir a doença para seus bebês, que ficam com o risco de nascer com problemas de audição, visão e outras alterações graves do sistema nervoso central, a chamada Sífilis Congênita.",
"A síndrome da imunodeficiência adquirida (aids, na sigla em inglês) é uma doença infectocontagiosa para a qual ainda não existe cura. Ela é causada pelo HIV, vírus da imunodeficiência humana, que invade e destrói células de defesa conhecidas como T-CD4, responsáveis por organizar a resposta imunológica.",,"Em se tratando de HIV, podemos separar as medidas de prevenção em estratégias para impedir o contágio em si e as táticas para evitar que a infecção, uma vez estabelecida, evolua para a aids em si. Usar sempre o preservativo durante o sexo; Não compartilhar seringas, agulhas e objetos cortantes; Tatuagens e piercings devem ser feitos com material descartável; Realizar periodicamente o teste de HIV, disponibilizado em postos de saúde gratuitamente.","Dois exames de sangue são usados para detectar a presença de anticorpos contra o HIV. No convencional, chamado Elisa, o resultado sai em alguns dias. Já no teste rápido – oferecido gratuitamente pelo Sistema Único de Saúde, nas unidades da rede pública e nos Centros de Testagem e Aconselhamento (CTA) –, é possível obter a resposta em 30 minutos.",,"Embora não se tenha chegado à cura, hoje já é possível falar em controle total da aids. Se a descoberta da presença do HIV ocorre logo após a infecção, os danos ao sistema imunológico são mínimos. Com o coquetel anti-HIV, uma combinação de drogas que atacam o vírus em diferentes estágios, as defesas do portador não vão ruir e, consequentemente, ele evita as complicações derivadas da imunodeficiência."
"A aids é a doença causada pela infecção do Vírus da Imunodeficiência Humana (HIV é a sigla em inglês). Esse vírus ataca o sistema imunológico, que é o responsável por defender o organismo de doenças. As células mais atingidas são os linfócitos T CD4+. O vírus é capaz de alterar o DNA dessa célula e fazer cópias de si mesmo. Depois de se multiplicar, rompe os linfócitos em busca de outros para continuar a infecção.",,"A melhor técnica de evitar a Aids / HIV é a pretenção combinada, que consiste no uso simultâneo de diferentes abordagens de prevenção, aplicadas em diversos níveis para responder as necessidades específicas de determinados segmentos populacionais e de determinadas formas de transmissão do HIV.","O diagnóstico da infecção pelo HIV é feito a partir da coleta de sangue ou por fluido oral. No Brasil, temos os exames laboratoriais e os testes rápidos, que detectam os anticorpos contra o HIV em cerca de 30 minutos. Esses testes são realizados gratuitamente pelo Sistema Único de Saúde (SUS)",,"Os medicamentos antirretrovirais (ARV) surgiram na década de 1980 para impedir a multiplicação do HIV no organismo. Esses medicamentos ajudam a evitar o enfraquecimento do sistema imunológico. Por isso, o uso regular dos ARV é fundamental para aumentar o tempo e a qualidade de vida das pessoas que vivem com HIV e reduzir o número de internações e infecções por doenças oportunistas.Desde 1996, o Brasil distribui gratuitamente os ARV a todas as pessoas vivendo com HIV que necessitam de tratamento. Atualmente, existem 22 medicamentos, em 38 apresentações farmacêuticas."
,"A Secretaria da Saúde do Estado da Bahia divulgou recentemente que nos últimos cinco anos, 396 meninas menores de 14 anos foram diagnosticadas com sífilis na Bahia. Em Feira de Santana, a Secretaria Municipal de Saúde, através do Centro Municipal de Referência em Infecções Sexualmente Transmissíveis IST/HIV/Aids, registrou em 2019, no período de janeiro a junho, mais de 300 casos de sífilis adquirida em pessoas de todas as idades.","A utilização da camisinha nas relações sexuais é considerada a principal forma de prevenção contra as IST’s, como também a gravidez indesejada. Já no caso de gestantes, a mãe precisa realizar o pré-natal, testes e exames preconizados."," Já a Sífilis é uma doença curável com um tratamento simples, hoje a Atenção Básica aqui no município já conta com profissionais treinados e habilitados para realização de testes rápidos e diagnósticos, seja para o HIV ou para a Sífilis.",,
"As IST são causadas por vírus, bactérias e outros microrganismos.","No Brasil, de acordo com dados de outubro/2019 do Ministério da Saúde, a sífilis adquirida teve sua taxa de detecção aumentada de 59,1 casos por 100.000 habitantes, em 2017, para 75,8 casos por 100.000 habitantes, em 2018. Também em 2018, a taxa de detecção de sífilis em gestantes foi de 21,4/1.000 nascidos vivos, a taxa de incidência de sífilis congênita foi de 9,0/1.000 nascidos vivos e taxa de mortalidade por sífilis congênita foi de 8,2/100.000 nascidos vivos.","Você pode reduzir esse risco usando camisinha, limitando o número de parceiros sexuais, conversando com seu parceiro sobre IST passadas, evitando práticas sexuais de risco (lesões de pele ou mucosa aumentam risco de contaminação) e se vacinando.",,"Podem se manifestar como feridas genitais, corrimentos, verrugas anogenitais, dor pélvica, dor ao urinar, ínguas ou lesões de pele.",
"A sífilis, caracterizada por ser uma Infecção Sexualmente Transmissível (IST), causada pelo Treponema pallidum (T. pallidum), está avançando não só em Minas Gerais, mas em todo o país. ",,"A principal forma de prevenção da doença é a utilização do preservativo, seja ele masculino ou feminino em todas as relações sexuais, sejam elas anais, vaginais ou orais.",“O aumento do número de casos de sífilis na atualidade pode ser atribuído à ampliação do diagnóstico por meio da testagem rápida na atenção primária. ,,"A benzilpenicilina benzatina, também conhecida simplesmente por penicilina, é utilizada no tratamento da doença"
"ífilis é uma doença infecto-contagiosa, sexualmente transmissível, que pode levar à morte se não tratada a tempo. É especialmente perigosa se a pessoa infectada for uma gestante.",,O uso de preservativos durante as relações sexuais é a maneira mais segura de prevenir a doença.,"Nas fases iniciais, o diagnóstico pode ser confirmado pela reconhecimento da bactéria no exame de sangue ou nas amostras de material retiradas das lesões. Na fase avançada, é necessário pedir um exame de líquor para verificar se o sistema nervoso não foi afetado.",,"O tratamento é feito com antibióticos, especialmente penicilina. Deve ser acompanhado com exames clínicos e laboratoriais para avaliar a evolução da doença e estendido aos parceiros sexuais."
"A sífilis é uma doença sexualmente transmissível causada pela bactéria Treponema pallidum. A principal via de transmissão é através do contato sexual, mas ela também pode ocorrer da mãe para o feto durante a gravidez ou no momento do nascimento, resultando em sífilis congênita.","Em 2013, em todas as regiões do Brasil foi observado aumento considerável na notificação de sífilis em gestantes em relação ao ano anterior, variando entre 14,8% (Nordeste) e 44,7% (Sul).

Mais assustador, e corroborando tais observações, são os dados referentes ao número de recém-nascidos com diagnóstico de sífilis congênita: de 1998 a junho de 2014, foram notificados ao Ministério da Saúde do Brasil 104 853 casos de sífilis congênita em menores de 1 ano de idade, dos quais 48 015 (45,8%) na Região Sudeste, 32.884 (31,4%) no Nordeste, 8.959 (8,5%) no Sul, 8.856 (8,4%) no Norte e 6.139 (5,9%) no Centro-Oeste. Em 2013, foram notificados 13705 casos de sifilis congênita em menores de 1 ano de idade, a maioria dos quais (43,1%) na Região Sudeste, seguidos pelo Nordeste (32,2%), Sul (11,4%), Norte (7,8%) e Centro-Oeste (5,5%). Nos últimos dez anos, houve progressivo aumento na taxa de incidência de sífilis congênita: em 2004, a taxa era de 1,7 casos para cada 1.000 nascidos vivos e, em 2013, subiu para 4,7.",,O diagnóstico é feito geralmente por meio de exames de sangue.,,"A “falta” de penicilina benzatina (formulação da penicilina utilizada para o tratamento de sífilis em todas suas fases, exceto quando do acometimento do sistema nervoso central)."
,"Recentemente o Ministério da Saúde divulgou um boletim apontando números alarmantes da sífilis – doença transmitida de uma pessoa para outra por meio de relação sexual. O levantamento mostrou que somente em 2018 foram notificados 158.051 casos de sífilis, em todo país, representando um aumento de 28,3% em relação a 2017, quando esse número chegou a 119.800.",,,"ela possui as fases primária, secundária, latente e terciária e que a falta de tratamento pode causar cegueira, demência. Conforme específica Aldet, na sífilis primária a manifestação característica é o cancro duro acompanhado de aumento de gânglios na região afetada. Na sífilis secundária, o diagnóstico é baseado na presença de lesões típicas na pele e mucosas disseminadas, que costumam ser exuberantes nessa fase. Já a sífilis latente não apresenta qualquer manifestação clínica e a sífilis terciária acomete não apenas a pele, mas também órgãos internos, como o sistema nervoso central, provocando a neurossífilis.",por meio da penicilina
,"a Organização Mundial da Saúde (OMS) emitiu um alerta sobre a falta de progresso na redução da transmissão de doenças sexualmente transmissíveis. De acordo com dados levantados, em 2016 houve mais de 376 milhões de novas infecções de clamídia, gonorreia, sífilis e tricomoníase no mundo. Esse número é praticamente o mesmo de 2012, o que mostra uma estagnação na redução da transmissão de DSTs. No Brasil, os números seguem elevados: de janeiro a junho deste ano foram 6.251 ocorrências de sífilis adquirida, 3.838 de sífilis em gestantes, além de 1.265 registros de Aids e 250 de hepatite B.","O uso da camisinha, conjugado à realização de exames regulares e acesso à informações de saúde de qualidade, ainda é a forma de prevenção mais indicada.",,"doenças como a sífilis podem levar à cegueira, paralisia e doenças cardíaca e cerebral. Além disso, a bactéria que causa a sífilis pode ser transmitida da mãe para o bebê durante a gestação, podendo ocasionar má formações e levar ao aborto. A hepatite (inflação do fígado) B, C e D, podem acarretar complicações como cirrose ou câncer de fígado.",
"A sífilis é uma infecção sexualmente transmissível (IST) com fases assintomáticas e quanto antes for tratada, melhor.",,"Para evitar a transmissão, é necessário utilizar de forma correta e regular a camisinha feminina ou masculina. Quanto à prevenção da sífilis congênita, o diagnóstico, o tratamento e o acompanhamento de gestantes e parcerias sexuais durante o pré-natal contribui para controle de novos casos.",O teste rápido está disponível no Sistema Único de Saúde (SUS) e proporciona o resultado em até 30 minutos.,"Nos estágios primário e secundário da doença, a possibilidade de transmissão é maior. A terceira fase (sífilis terciária) é mais rara nos dias atuais, mas pode surgir após vários anos ou décadas depois do início da infecção, na ausência de tratamento.

Em grávidas não tratadas de forma adequada, a infecção pode causar aborto, prematuridade, malformação do feto, entre outras consequências da sífilis congênita.",
"Sífilis é uma doença sexualmente transmissível (DST) causada pela bactéria Treponema e conhecida por ser um “mal silencioso”, exigindo atenção e cuidado aos sintomas.","No Brasil, segundo o Ministério da Saúde, a Sífilis adquirida (que ocorre em adultos) aumentou 27,9% entre 2015 e 2016. No caso do HIV, entre 2007 e 2018, foram notificados mais de 247 mil casos.
",,,"“Alguns dias após o contágio, é comum surgir uma ferida no pênis, na vagina, no ânus ou na boca. Muitas vezes nem consideramos ser uma Sífilis. Com o tempo, se não for tratada, pode acarretar sérios problemas, como problemas neurológicos e até a cegueira",
"Causada pela bactéria treponema pallidum, a doença é uma infecção sexualmente transmissível que causa feridas na região contaminada, febre, mal estar e manchas no corpo.","O Brasil é um dos diversos países que têm números alarmantes de casos de sífilis, entre homens, mulheres não grávidas e gestantes. Em 2010, quando o registro de diagnóstico da doença passou a ser obrigatório, o País tinha 2 casos por 100 mil habitantes. Em 2016, o número passou a ser de 58,1 casos para 100 mil pessoas. A soma de todos os casos notificados no Brasil em 2017 é 119.800, sendo 1.692 no Ceará. Os dados são do Boletim Epidemiológico de Sífilis de 2018 divulgado pelo Ministério da Saúde.",,,"A longo prazo, a sífilis pode causar problemas cardiovasculares e neurológicos. Se transmitida da mãe para o bebê, a criança pode nascer com problemas ósseos, deficiência mental ou cegueira em decorrência da sífilis congênita. ","""No entanto, a escassez de penicilina, droga capaz de tratar mulheres grávidas com a infecção, tem dificultado o tratamento.

A cefixima é utilizada mundialmente para o tratamento de outras doenças sexualmente transmissíveis, como a gonorreia. No entanto, é a primeira vez que a droga é testada para tratar a sífilis. """
sífilis é uma doença bacteriana (Treponema pallidum) curável e tem como principal via de transmissão o contato sexual.,,"uso de preservativo também é um método eficaz para eliminar a contaminação por doenças sexualmente transmissíveis e a reinfecção, pois a sífilis pode ser adquirida por mais de uma vez. O preservativo para homens e mulheres é oferecido gratuitamente nas Unidades de Saúde do município.",,"Na sífilis primária Dos sinais e sintomas são feridas indolores no pênis, no ânus ou na vulva que, se não forem tratadas, desaparecem espontaneamente e retornam depois de semanas, meses a anos nas suas formas terciária, que são mais graves

Quando esta infecção surge durante a gravidez, ela pode infectar o feto, que contrai a sífilis congênita, uma situação preocupante que pode se tornar grave e causar má-formação, aborto ou, até, morte do bebê.","O tratamento é simples, geralmente feito com Benzetacil. O quanto antes a doença for detectada, melhor para ter a cura e evitar a transmissão. "
"uma Infecção Sexualmente Transmissível (IST) curável, causada pela bactéria Treponema pallidum",,O uso correto e regular da camisinha feminina e/ou masculina,tratamento é disponibilizado gratuitamente em toda a rede de atenção básica e o Estado oferece os Centros de Testagem (CTAs) para o diagnóstico,"Pode apresentar várias manifestações clínicas e diferentes estágios (sífilis primária, secundária, latente e terciária).  

Nos estágios primário e secundário da infecção, a possibilidade de transmissão é maior. A sífilis pode ser transmitida por relação sexual sem camisinha com uma pessoa infectada ou para a criança durante a gestação ou parto. ",
"uma infecção sexualmente transmissível, causada por uma bactéria Treponema pallidum","No Brasil, em 2017 houve um aumento significativo da infecção principalmente pelo descuido dos jovens, cerca de 27,9%. Esse aumento também foi percebido na transmissão congênita (transmitida da mãe para o bebê pela placenta ou no momento do parto), cerca de 3%",O uso da camisinha e ter relações sexuais seguras são a melhor forma de prevenir,,,"feito à base de penicilina, um antibiótico comprovadamente eficaz contra a bactéria causadora da doença"
,"Entre os anos de 1980 e junho/2017, foram registrados no Brasil 882.810 casos de aids, com uma média de 40.000 casos novos/ano. O Nordeste responde por 15,4% do total de casos, correspondendo a 135.952 casos (DIAHV/SVS/MS). No Recife, entre os anos de 1984 e 2017 (dados provisórios até 19/11/2018), foram notificados 10.200 casos de aids, sendo 7.032 homens e 3.168 mulheres. Já as infecções pelo HIV somam 2.369 notificações, com 1.724 homens infectados e 645 mulheres.","Ainda segundo a prefeitura, já está disponível para uso na cidade o aplicativo ‘Aqui tem Camisinha’, onde os recifenses poderão, com o uso da internet, localizar a unidade mais próxima para pegar preservativos e realizar o teste rápido para Infecções Sexualmente Transmissíveis (IST). ",,,
"As infecções sexualmente transmissíveis são causadas por vírus, bactérias ou outros microrganismos. São transmitidas, principalmente, por meio do contato sexual sem o uso de camisinha masculina ou feminina, com uma pessoa que esteja infectada.

A transmissão de uma IST pode acontecer, ainda, da mãe para a criança durante a gestação, o parto ou a amamentação. O atendimento e o tratamento são gratuitos nos serviços de saúde do SUS.","Segundo o último boletim epidemiológico divulgado pela SES, em 2017 houve um aumento de 24% nos casos de sífilis adquirida em Pernambuco: 1.805 homens e 1.470 mulheres foram infectados. Os números são comparados ao ano de 2016, quando 1.386 homens e 1.246 mulheres contraíram sífilis. Um aumento total de 643 casos. Os dados de 2018 ainda não foram revelados pela SES.

Até outubro de 2018, o número de casos de HIV e Aids caiu ante 2017. 1.692 pessoas contraíram o vírus HIV e 445 desenvolveram a Aids. Em 2017, foram 2.697 casos de HIV e 1.001 pessoas que desenvolveram a Aids. Os dados ainda são preliminares e podem ser revisados, portanto, estão sujeitos à alteração.","Segundo a gerente do programa estadual de IST/Aids/HIV, Camila Dantas, durante o ano, a SES promove ações de prevenção, controle e tratamento das infecções sexualmente transmissíveis.

Em época de folia, Camila Dantas alerta sobre uso da camisinha para evitar as IST's.",,,
